name,group,tag,ok,units,method,note,unit_rows,unit_gas,unit_cg,glue_rows,glue_gas,op_rows,op_gas,op_cg,witness_bytes_per_unit
SHA256/8192B,precompile,p2c,True,1498,"straight-line Δ(K − K/2 units, equal code length)",8192B input,556083.1682242991,3251.0,171.04988256668688,188.04566666666665,19,555895.1225576324,3232.0,171.99725326659419,
PREVRANDAO,env,p1b,True,3000,"straight-line Δ(K − K/2 units, equal code length)",minus POP,364.0,4.0,91.0,27.446666666666665,2,336.55333333333334,2.0,168.27666666666667,
BN254PAIRING/k8,precompile,p2c,True,19,"straight-line Δ(K − K/2 units, equal code length)",8 pairs,48843521.526315786,317119.0,154.02269030337442,188.04566666666665,19,48843333.48064912,317100.0,154.03132601907637,
BN254PAIRING/k1,precompile,p2c,True,75,"straight-line Δ(K − K/2 units, equal code length)",1 pair (result 0),11873183.333333334,79119.0,150.06740900837136,188.04566666666665,19,11872995.287666667,79100.0,150.10107822587443,
BN254PAIRING/k4,precompile,p2c,True,33,"straight-line Δ(K − K/2 units, equal code length)",4 pairs,26755941.03030303,181119.0,147.72575505774122,188.04566666666665,19,26755752.984636366,181100.0,147.74021526579992,
BN254PAIRING/k2,precompile,p2c,True,53,"straight-line Δ(K − K/2 units, equal code length)","2 pairs, e(G1,G2)e(−G1,G2)=1",16398783.698113207,113119.0,144.96931283085254,188.04566666666665,19,16398595.65244654,113100.0,144.9920040004115,
SHA256/1024B,precompile,p2c,True,1498,"straight-line Δ(K − K/2 units, equal code length)",1024B input,78406.84112149532,563.0,139.2661476403114,188.04566666666665,19,78218.79545482865,544.0,143.78455046843501,
MULMOD,arith,p1b,True,2389,"straight-line Δ(K − K/2 units, equal code length)","a=b=2^256-1, N 255-bit",1239.6613645876937,19.0,65.24533497829967,115.19266666666667,11,1124.4686979210271,8.0,140.5585872401284,
PUSH0/deep200,stack,px2,True,100,"straight-line Δ(K − K/2 units, equal code length)","straight-line, stack grows to 200",272.41,2.0,136.205,0,0,272.41,2.0,136.205,
BN254MUL/full-scalar,precompile,p2c,True,960,"straight-line Δ(K − K/2 units, equal code length)",scalar n−1 (GLV override),789974.8572916667,6119.0,129.10195412512937,188.04566666666665,19,789786.811625,6100.0,129.47324780737705,
MOD/256by255,arith,p1b,True,2991,"straight-line Δ(K − K/2 units, equal code length)","dividend 256-bit, divisor 255-bit",659.9986626546306,13.0,50.76912789651004,83.23333333333335,8,576.7653293212973,5.0,115.35306586425945,
MODEXP/32-32-32,precompile,p2c,True,1391,"straight-line Δ(K − K/2 units, equal code length)","B,M 32B odd; E 255 bits set (gas 16*255)",479805.86484543496,4183.0,114.70376878925052,188.04566666666665,19,479617.8191787683,4164.0,115.18199307847462,
DIV/256by255,arith,p1b,True,2991,"straight-line Δ(K − K/2 units, equal code length)","dividend 256-bit, divisor 255-bit",655.8134403209629,13.0,50.44718771699714,83.23333333333335,8,572.5801069876295,5.0,114.5160213975259,
MULMOD/N128,arith,p1b,True,2391,"straight-line Δ(K − K/2 units, equal code length)",N 128-bit,1017.3074027603514,19.0,53.542494882123755,115.19266666666667,11,902.1147360936847,8.0,112.76434201171058,
SELFBALANCE,env,p1b,True,3000,"straight-line Δ(K − K/2 units, equal code length)",minus POP,544.9096666666667,7.0,77.8442380952381,27.446666666666665,2,517.463,5.0,103.4926,
MULMOD/N3,arith,p1b,True,2393,"straight-line Δ(K − K/2 units, equal code length)",N=3,936.9987463435019,19.0,49.31572349176326,115.19266666666667,11,821.8060796768352,8.0,102.7257599596044,
KECCAK256/8KB,arith,p1b,True,1000,"straight-line Δ(K − K/2 units, equal code length)",memory pre-expanded,155786.201,1574.0,98.97471473951715,83.23333333333335,8,155702.96766666666,1566.0,99.42718241805024,
KECCAK256/1KB,arith,p1b,True,2000,"straight-line Δ(K − K/2 units, equal code length)",top=0x0.. second=0x400..,20769.5475,230.0,90.3023804347826,83.23333333333335,8,20686.314166666667,222.0,93.18159534534534,
ADDMOD,arith,p1b,True,2389,"straight-line Δ(K − K/2 units, equal code length)","a=b=2^256-1, N 255-bit",857.0468815403934,19.0,45.10773060738913,115.19266666666667,11,741.8542148737267,8.0,92.73177685921584,
KECCAK256/136B,arith,p1b,True,2999,"straight-line Δ(K − K/2 units, equal code length)",exactly one permutation block,5438.958319439813,68.0,79.98468116823256,83.23333333333335,8,5355.724986106479,60.0,89.26208310177465,
BLAKE2F/r12,precompile,p2c,True,1499,"straight-line Δ(K − K/2 units, equal code length)",12 rounds (gas = rounds),9819.364242828553,131.0,74.95697895288971,188.04566666666665,19,9631.318576161886,112.0,85.99391585858827,
KECCAK256/32B,arith,p1b,True,2999,"straight-line Δ(K − K/2 units, equal code length)","offset 0, size 32",2898.88396132044,44.0,65.88372639364637,83.23333333333335,8,2815.6506279871064,36.0,78.21251744408629,
MOD/256by128,arith,p1b,True,2993,"straight-line Δ(K − K/2 units, equal code length)","dividend 256-bit, divisor 128-bit",466.98964249916475,13.0,35.92228019224344,83.23333333333335,8,383.7563091658314,5.0,76.75126183316628,
DIV/256by128,arith,p1b,True,2993,"straight-line Δ(K − K/2 units, equal code length)","dividend 256-bit, divisor 128-bit",462.75576344804546,13.0,35.596597188311186,83.23333333333335,8,379.5224301147121,5.0,75.90448602294242,
MOD/256by3,arith,p1b,True,2995,"straight-line Δ(K − K/2 units, equal code length)","dividend 256-bit, divisor 3",430.95025041736227,13.0,33.15001926287402,83.23333333333335,8,347.7169170840289,5.0,69.54338341680578,
DIV/256by3,arith,p1b,True,2995,"straight-line Δ(K − K/2 units, equal code length)","dividend 256-bit, divisor 3",427.1098497495826,13.0,32.85460382689097,83.23333333333335,8,343.8765164162493,5.0,68.77530328324985,
BLAKE2F/r1,precompile,p2c,True,1499,"straight-line Δ(K − K/2 units, equal code length)",1 rounds (gas = rounds),7036.737158105404,120.0,58.63947631754503,188.04566666666665,19,6848.691491438737,101.0,67.80882664790829,
BLAKE2F/r0,precompile,p2c,True,1499,"straight-line Δ(K − K/2 units, equal code length)",0 rounds (gas = rounds),6789.214142761841,119.0,57.0522196870743,188.04566666666665,19,6601.168476095174,100.0,66.01168476095174,
CALL/rev32,call,p2c,True,1331,"straight-line Δ(K − K/2 units, equal code length)",callee REVERT 32B,6840.809166040571,130.0,52.621608969542855,215.65733333333333,22,6625.151832707237,108.0,61.343998450992935,
SHA256/0B,precompile,p2c,True,1499,"straight-line Δ(K − K/2 units, equal code length)",0B input,9807.360907271513,179.0,54.789725738947006,188.04566666666665,19,9619.315240604847,160.0,60.12072025378029,
COINBASE,env,p1b,True,3000,"straight-line Δ(K − K/2 units, equal code length)",minus POP,146.83933333333334,4.0,36.709833333333336,27.446666666666665,2,119.39266666666668,2.0,59.69633333333334,
SDIV/256by128,arith,p1b,True,2993,"straight-line Δ(K − K/2 units, equal code length)","dividend 256-bit, divisor 128-bit",378.32776478449716,13.0,29.102135752653627,83.23333333333335,8,295.0944314511638,5.0,59.018886290232764,
ADDRESS,env,p1b,True,3000,"straight-line Δ(K − K/2 units, equal code length)",minus POP,144.89066666666668,4.0,36.22266666666667,27.446666666666665,2,117.44400000000002,2.0,58.72200000000001,
MODEXP/32-1024-32,precompile,p2c,True,23,"straight-line Δ(K − K/2 units, equal code length)","B,M 32B; E 1024B all ones (iter 16127)",15087459.695652174,258151.0,58.44432016785592,188.04566666666665,19,15087271.649985507,258132.0,58.44789351953848,
SDIV/256by255,arith,p1b,True,2991,"straight-line Δ(K − K/2 units, equal code length)","dividend 256-bit, divisor 255-bit",373.42460715479774,13.0,28.724969781138288,83.23333333333335,8,290.1912738214644,5.0,58.03825476429288,
SDIV/256by3,arith,p1b,True,2995,"straight-line Δ(K − K/2 units, equal code length)","dividend 256-bit, divisor 3",372.74891485809684,13.0,28.672993450622833,83.23333333333335,8,289.5155815247635,5.0,57.9031163049527,
CALL/ret32,call,p2c,True,1331,"straight-line Δ(K − K/2 units, equal code length)",callee RETURN 32B,6416.221637866266,130.0,49.35555106050974,215.65733333333333,22,6200.5643045329325,108.0,57.412632449379004,
SMOD/256by3,arith,p1b,True,2995,"straight-line Δ(K − K/2 units, equal code length)","dividend 256-bit, divisor 3",369.8437395659432,13.0,28.44951842814948,83.23333333333335,8,286.6104062326099,5.0,57.322081246521975,
CALLDATALOAD,env,p1b,True,3000,"straight-line Δ(K − K/2 units, equal code length)",,224.91466666666668,8.0,28.114333333333335,53.413333333333334,5,171.50133333333335,3.0,57.16711111111112,
SMOD/256by255,arith,p1b,True,2991,"straight-line Δ(K − K/2 units, equal code length)","dividend 256-bit, divisor 255-bit",365.9769307923771,13.0,28.152071599413624,83.23333333333335,8,282.74359745904377,5.0,56.548719491808754,
SMOD/256by128,arith,p1b,True,2993,"straight-line Δ(K − K/2 units, equal code length)","dividend 256-bit, divisor 128-bit",365.48379552288674,13.0,28.114138117145135,83.23333333333335,8,282.2504621895534,5.0,56.450092437910676,
SHA256/32B,precompile,p2c,True,1499,"straight-line Δ(K − K/2 units, equal code length)",32B input,9831.415610406939,191.0,51.473380159198626,188.04566666666665,19,9643.369943740272,172.0,56.06610432407135,
CALLCODE/stop,call,p2c,True,1331,"straight-line Δ(K − K/2 units, equal code length)",,5769.464312546957,122.0,47.290691086450465,215.65733333333333,22,5553.806979213624,100.0,55.53806979213624,
ORIGIN,env,p1b,True,3000,"straight-line Δ(K − K/2 units, equal code length)",minus POP,138.51933333333332,4.0,34.62983333333333,27.446666666666665,2,111.07266666666666,2.0,55.53633333333333,
CALL/stop,call,p2c,True,1331,"straight-line Δ(K − K/2 units, equal code length)",warm callee STOP,5736.080390683696,122.0,47.01705238265325,215.65733333333333,22,5520.423057350363,100.0,55.20423057350363,
CALL/big,call,p2c,True,1331,"straight-line Δ(K − K/2 units, equal code length)",warm callee 24KB code (STOP),5721.210368144252,122.0,46.89516695200207,215.65733333333333,22,5505.553034810919,100.0,55.05553034810919,
STATICCALL/stop,call,p2c,True,1498,"straight-line Δ(K − K/2 units, equal code length)",,5624.9946595460615,119.0,47.26886268526102,188.04566666666665,19,5436.948992879395,100.0,54.369489928793946,
TSTORE/distinct,state,p2c,True,1999,"straight-line Δ(K − K/2 units, equal code length)",,5464.650325162581,106.0,51.55330495436397,62.01638101589419,6,5402.633944146687,100.0,54.026339441466874,
CALLER,env,p1b,True,3000,"straight-line Δ(K − K/2 units, equal code length)",minus POP,134.90766666666667,4.0,33.72691666666667,27.446666666666665,2,107.46100000000001,2.0,53.730500000000006,
MSTORE,memory,p1b,True,3000,"straight-line Δ(K − K/2 units, equal code length)",,208.89833333333334,9.0,23.210925925925928,55.786666666666676,6,153.11166666666668,3.0,51.037222222222226,
DELEGATECALL/stop,call,p2c,True,1498,"straight-line Δ(K − K/2 units, equal code length)",,5066.1248331108145,119.0,42.57247758916651,188.04566666666665,19,4878.079166444148,100.0,48.78079166444147,
MODEXP/64-32-64,precompile,p2c,True,181,"straight-line Δ(K − K/2 units, equal code length)","B,M 64B; E 256 bits",1421725.1049723758,32759.0,43.39952699937042,188.04566666666665,19,1421537.059305709,32740.0,43.418969435116345,
PUSH32,stack,p1b,True,500,"straight-line Δ(K − K/2 units, equal code length)",,129.49,3.0,43.163333333333334,0,0,129.49,3.0,43.163333333333334,
MLOAD,memory,p1b,True,3000,"straight-line Δ(K − K/2 units, equal code length)",,182.79866666666666,8.0,22.849833333333333,53.413333333333334,5,129.38533333333334,3.0,43.12844444444445,
MLOAD/1MB,memory,p1b,True,3000,"straight-line Δ(K − K/2 units, equal code length)","offset 1 MiB, pre-expanded",182.74266666666668,8.0,22.842833333333335,53.413333333333334,5,129.32933333333335,3.0,43.109777777777786,
PUSH0,stack,p1b,True,500,"straight-line Δ(K − K/2 units, equal code length)","straight-line, 1000 deep",82.04,2.0,41.02,0,0,82.04,2.0,41.02,
PUSH20/deep1000,stack,px2,True,500,"straight-line Δ(K − K/2 units, equal code length)",,112.604,3.0,37.534666666666666,0,0,112.604,3.0,37.534666666666666,
IDENTITY/32B,precompile,p2c,True,1499,"straight-line Δ(K − K/2 units, equal code length)",32B input,4557.463642428285,137.0,33.26615797392909,188.04566666666665,19,4369.417975761618,118.0,37.0289658962849,
IDENTITY/0B,precompile,p2c,True,1499,"straight-line Δ(K − K/2 units, equal code length)",0B input,4400.790527018012,134.0,32.841720350880685,188.04566666666665,19,4212.744860351345,115.0,36.63256400305517,
RETURNDATACOPY/0B,memory,p1b,True,2999,"straight-line Δ(K − K/2 units, equal code length)",memory pre-expanded; src 0,192.10503501167057,12.0,16.008752917639214,82.83500000000001,9,109.27003501167056,3.0,36.423345003890184,
PUSH20/deep200,stack,px2,True,100,"straight-line Δ(K − K/2 units, equal code length)",,107.51,3.0,35.836666666666666,0,0,107.51,3.0,35.836666666666666,
PUSH20-POP,stack,px2,True,545,"straight-line Δ(K − K/2 units, equal code length)",,134.46238532110092,5.0,26.892477064220184,27.446666666666665,2,107.01571865443427,3.0,35.671906218144755,
MODEXP/256-32-256,precompile,p2c,True,11,"straight-line Δ(K − K/2 units, equal code length)","B,M 256B; E 256 bits",18459003.0,522359.0,35.33777153260497,188.04566666666665,19,18458814.954333335,522340.0,35.33869692984136,
MODEXP/8-32-8,precompile,p2c,True,1391,"straight-line Δ(K − K/2 units, equal code length)","B,M 8B; E 256 bits",145029.09705248024,4199.0,34.53896095557995,188.04566666666665,19,144841.05138581357,4180.0,34.650969231055875,
CREATE2/init48K,create,p2c,True,132,"straight-line Δ(K − K/2 units, equal code length)",initcode 49152B hashed (6/word),1504535.0681818181,44304.0,33.959350581929804,158.9860953651217,12,1504376.082086453,44292.0,33.964961665457714,
MODEXP/1024-32-1024,precompile,p2d,True,1,"straight-line Δ(K − K/2 units, equal code length)","B,M 1024B odd; E 256 bits set",281877760.0,8355959.0,33.73374139341756,188.04566666666665,19,281877571.9543333,8355940.0,33.733795593833044,
MODEXP/1024-32-1024even,precompile,p2d,True,1,"straight-line Δ(K − K/2 units, equal code length)",even modulus 1024B; E 256 bits,281840684.0,8355959.0,33.7293043204257,188.04566666666665,19,281840495.9543333,8355940.0,33.72935851075203,
PUSH32-POP,stack,px2,True,353,"straight-line Δ(K − K/2 units, equal code length)",,123.94900849858357,5.0,24.789801699716715,27.446666666666665,2,96.50234183191691,3.0,32.167447277305634,
MODEXP/32-e2-32,precompile,p2c,True,1499,"straight-line Δ(K − K/2 units, equal code length)",E=2 (1 squaring) → floor 500,19291.863242161442,619.0,31.166176481682456,188.04566666666665,19,19103.817575494777,600.0,31.83969595915796,
MODEXP/32-e1-32,precompile,p2c,True,1499,"straight-line Δ(K − K/2 units, equal code length)",E=1 → gas floor 500,19189.802535023347,619.0,31.001296502460985,188.04566666666665,19,19001.756868356682,600.0,31.66959478059447,
MSTORE8,memory,p1b,True,3000,"straight-line Δ(K − K/2 units, equal code length)",,148.04,9.0,16.448888888888888,55.786666666666676,6,92.25333333333332,3.0,30.751111111111104,
MCOPY/32B,memory,p1b,True,2998,"straight-line Δ(K − K/2 units, equal code length)",memory pre-expanded; src 0; dst 16K,264.44262841894596,15.0,17.629508561263066,82.83500000000001,9,181.60762841894595,6.0,30.267938069824325,
CALL/sstore1,call,p2c,True,1331,"straight-line Δ(K − K/2 units, equal code length)",callee SSTORE slot0=1 (dirty after first),6820.969947407964,241.9511645379414,28.191515260668805,215.65733333333333,22,6605.312614074631,219.9511645379414,30.030814467159686,
BLOCKHASH,env,p1b,True,3000,"straight-line Δ(K − K/2 units, equal code length)",parent (1 ancestor in witness),644.973,25.0,25.79892,53.413333333333334,5,591.5596666666667,20.0,29.577983333333332,
CALLDATACOPY/32B,memory,p1b,True,2999,"straight-line Δ(K − K/2 units, equal code length)",memory pre-expanded; src 0,259.96498832944314,15.0,17.330999221962877,82.83500000000001,9,177.12998832944314,6.0,29.521664721573856,
CODECOPY/32B,memory,p1b,True,2999,"straight-line Δ(K − K/2 units, equal code length)",memory pre-expanded; src 0,257.9286428809603,15.0,17.195242858730687,82.83500000000001,9,175.0936428809603,6.0,29.18227381349338,
EXTCODESIZE/cold-small-deep7,state,p3,True,400,"whole-block Δ(2n − n), pruned deep witness",cold contract with 64B code,73199.3275,2605.0,28.09954990403071,134.46238532110092,5,73064.8651146789,2600.0,28.101871197953425,2218.385
JUMPDEST,control,p1b,True,3000,"straight-line Δ(K − K/2 units, equal code length)",,25.015333333333334,1.0,25.015333333333334,0,0,25.015333333333334,1.0,25.015333333333334,
IDENTITY/1024B,precompile,p2c,True,1498,"straight-line Δ(K − K/2 units, equal code length)",1024B input,5304.010680907877,230.0,23.06091600394729,188.04566666666665,19,5115.96501424121,211.0,24.246279688346966,
BALANCE/cold-existing-deep7,state,p3,True,400,"whole-block Δ(2n − n), pruned deep witness","cold existing EOA, state trie depth 7",61789.8875,2605.0,23.719726487523992,134.46238532110092,5,61655.425114678896,2600.0,23.713625044107268,2218.385
SSTORE/cold-clear-deep6,state,p3,True,500,"whole-block Δ(2n − n), pruned deep witness","nonzero→zero (5000, refund 4800 → net gas after refund cap), deep: leaf delete",92501.846,4004.0,23.10235914085914,62.01638101589419,6,92439.8296189841,3998.0,23.12151816382794,4309.402
MSTORE-zero,memory,px2,True,3000,"straight-line Δ(K − K/2 units, equal code length)",value 0,206.99666666666667,9.0,22.99962962962963,0,0,206.99666666666667,9.0,22.99962962962963,
MSTORE-hi,memory,px2,True,3000,"straight-line Δ(K − K/2 units, equal code length)",,206.95933333333332,9.0,22.99548148148148,0,0,206.95933333333332,9.0,22.99548148148148,
SAR,arith,p1b,True,2995,"straight-line Δ(K − K/2 units, equal code length)",top=0xffffffffff.. second=0xc8..,152.0881469115192,11.0,13.826195173774472,83.23333333333335,8,68.85481357818585,3.0,22.951604526061953,
LT,arith,p1b,True,2991,"straight-line Δ(K − K/2 units, equal code length)",top=0xffffffffff.. second=0x7fffffffff..,149.1123370110331,11.0,13.555667001003009,83.23333333333335,8,65.87900367769976,3.0,21.959667892566586,
GT,arith,p1b,True,2991,"straight-line Δ(K − K/2 units, equal code length)",top=0xffffffffff.. second=0x7fffffffff..,149.07455700434636,11.0,13.55223245494058,83.23333333333335,8,65.84122367101301,3.0,21.94707455700434,
SHL,arith,p1b,True,2995,"straight-line Δ(K − K/2 units, equal code length)",top=0xffffffffff.. second=0xc8..,148.11085141903172,11.0,13.46462285627561,83.23333333333335,8,64.87751808569837,3.0,21.625839361899455,
SHL/ge256,arith,p1b,True,2995,"straight-line Δ(K − K/2 units, equal code length)",top=0xffffffffff.. second=0x12c..,148.0010016694491,11.0,13.454636515404461,83.23333333333335,8,64.76766833611575,3.0,21.58922277870525,
BALANCE/cold-empty-deep7,state,p3,True,400,"whole-block Δ(2n − n), pruned deep witness","cold nonexistent account, deep exclusion",55583.9525,2605.0,21.33740978886756,134.46238532110092,5,55449.4901146789,2600.0,21.326726967184193,2082.385
SLOAD/cold-existing-deep6,state,p3,True,500,"whole-block Δ(2n − n), pruned deep witness","cold existing slots, storage trie depth 6 (full 16-way branches), witness pruned to paths",44440.694,2105.0,21.11196864608076,61.143047682560855,5,44379.55095231744,2100.0,21.133119501103543,1574.89
SHR,arith,p1b,True,2995,"straight-line Δ(K − K/2 units, equal code length)",top=0xffffffffff.. second=0xc8..,145.98931552587646,11.0,13.27175595689786,83.23333333333335,8,62.755982192543115,3.0,20.918660730847705,
BLOBBASEFEE,env,p1b,True,3000,"straight-line Δ(K − K/2 units, equal code length)",minus POP,68.729,4.0,17.18225,27.446666666666665,2,41.282333333333334,2.0,20.641166666666667,
MUL/128x128,arith,p1b,True,2995,"straight-line Δ(K − K/2 units, equal code length)",top=0xdeadbeefca.. second=0xdeadbeefca..,186.07412353923206,13.0,14.313394118402465,83.23333333333335,8,102.84079020589871,5.0,20.568158041179743,
SDIV/minby-1,arith,p1b,True,2991,"straight-line Δ(K − K/2 units, equal code length)",MIN / -1 overflow path,181.77699765964562,13.0,13.982845973818893,83.23333333333335,8,98.54366432631227,5.0,19.708732865262455,
SLT,arith,p1b,True,2991,"straight-line Δ(K − K/2 units, equal code length)",top=0xffffffffff.. second=0x7fffffffff..,142.0364426613173,11.0,12.912403878301571,83.23333333333335,8,58.80310932798395,3.0,19.601036442661314,
SGT,arith,p1b,True,2991,"straight-line Δ(K − K/2 units, equal code length)",top=0xffffffffff.. second=0x7fffffffff..,141.93714476763625,11.0,12.90337679705784,83.23333333333335,8,58.70381143430291,3.0,19.567937144767637,
SLOAD/cold-empty-deep6,state,p3,True,500,"whole-block Δ(2n − n), pruned deep witness","cold nonexistent slots, deep exclusion paths",41075.934,2105.0,19.51350783847981,61.143047682560855,5,41014.79095231744,2100.0,19.530852834436875,1509.582
SUB,arith,p1b,True,2991,"straight-line Δ(K − K/2 units, equal code length)",top=0xffffffffff.. second=0x7fffffffff..,140.0337679705784,11.0,12.730342542779855,83.23333333333335,8,56.80043463724505,3.0,18.933478212415014,
MUL,arith,p1b,True,2991,"straight-line Δ(K − K/2 units, equal code length)",top=0xffffffffff.. second=0x7fffffffff..,177.7415580073554,13.0,13.672427539027339,83.23333333333335,8,94.50822467402205,5.0,18.90164493480441,
ADD,arith,p1b,True,2991,"straight-line Δ(K − K/2 units, equal code length)",top=0xffffffffff.. second=0x7fffffffff..,139.79772651287195,11.0,12.708884228442905,83.23333333333335,8,56.5643931795386,3.0,18.854797726512867,
MODEXP/1-1-1,precompile,p2c,True,1499,"straight-line Δ(K − K/2 units, equal code length)",2^3 mod 5 → floor 500,11416.368245496998,619.0,18.443244338444263,188.04566666666665,19,11228.322578830332,600.0,18.71387096471722,
BN254MUL/scalar2,precompile,p2c,True,960,"straight-line Δ(K − K/2 units, equal code length)",scalar 2,113386.12916666667,6119.0,18.530173094732255,188.04566666666665,19,113198.0835,6100.0,18.55706286885246,
SSTORE/cold-modify-deep6,state,p3,True,500,"whole-block Δ(2n − n), pruned deep witness","nonzero→nonzero (5000), deep: reveal + post-root rehash",92322.11,5006.0,18.4422912504994,62.01638101589419,6,92260.0936189841,5000.0,18.45201872379682,1574.89
GASPRICE,env,p1b,True,3000,"straight-line Δ(K − K/2 units, equal code length)",minus POP,62.535333333333334,4.0,15.633833333333333,27.446666666666665,2,35.08866666666667,2.0,17.544333333333334,
CLZ,arith,p1b,True,3000,"straight-line Δ(K − K/2 units, equal code length)",value 1 (255 leading zeros),141.098,10.0,14.1098,53.413333333333334,5,87.68466666666669,5.0,17.536933333333337,
